Fecha,polar_sleep_duration_min,polar_sleep_span_min,polar_deep_pct,polar_rem_pct,polar_efficiency_pct,polar_continuity,polar_continuity_index,polar_interruptions_long,polar_interruptions_total,polar_sleep_score,polar_night_rmssd,polar_night_rri,polar_night_resp,sleep_dur_p10,sleep_dur_p90,sleep_int_p90
2025-11-22,419.5,440.0,,,95.3409090909091,3.0,3.5,2.0,23.0,,,,,363.0,494.70000000000005,8.0
2025-11-23,411.0,438.5,,,93.72862029646522,3.0,3.3,3.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-11-24,421.5,448.5,,,93.9799331103679,2.0,2.5,2.0,35.0,,,,,363.0,494.70000000000005,8.0
2025-11-25,557.0,600.0,,,92.83333333333331,2.0,2.6,7.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-11-26,479.5,512.5,,,93.5609756097561,3.0,3.1,7.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-11-27,490.0,532.0,,,92.10526315789474,2.0,2.3,10.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-11-28,445.5,470.0,,,94.7872340425532,2.0,2.9,2.0,30.0,,,,,363.0,494.70000000000005,8.0
2025-11-29,390.0,416.0,,,93.75,2.0,2.6,6.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-11-30,420.5,442.5,,,95.02824858757062,2.0,2.9,2.0,27.0,,,,,363.0,494.70000000000005,8.0
2025-12-01,488.0,522.0,,,93.48659003831418,2.0,2.2,4.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-12-02,442.5,465.5,,,95.0590762620838,3.0,3.0,4.0,29.0,,,,,363.0,494.70000000000005,8.0
2025-12-03,456.5,496.0,,,92.03629032258064,2.0,2.4,8.0,35.0,,,,,363.0,494.70000000000005,8.0
2025-12-04,492.0,516.0,,,95.34883720930232,3.0,3.1,2.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-12-05,423.0,446.5,,,94.73684210526316,3.0,3.7,2.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-12-06,447.5,476.0,,,94.0126050420168,2.0,2.9,4.0,27.0,,,,,363.0,494.70000000000005,8.0
2025-12-07,457.5,490.0,,,93.36734693877553,2.0,2.7,5.0,31.0,,,,,363.0,494.70000000000005,8.0
2025-12-08,432.5,458.5,,,94.32933478735004,2.0,2.9,6.0,24.0,,,,,363.0,494.70000000000005,8.0
2025-12-09,529.5,574.5,,,92.16710182767623,2.0,2.7,5.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-12-10,463.0,496.0,,,93.34677419354838,2.0,2.2,5.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-12-11,480.0,507.0,,,94.67455621301777,3.0,3.0,3.0,35.0,,,,,363.0,494.70000000000005,8.0
2025-12-12,425.5,447.5,,,95.08379888268156,2.0,2.9,1.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-12-13,584.0,634.0,,,92.11356466876973,2.0,2.9,9.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-12-14,691.0,748.5,,,92.31796927187708,1.0,1.8,10.0,53.0,,,,,363.0,494.70000000000005,8.0
2025-12-15,431.5,458.0,,,94.21397379912663,3.0,3.1,4.0,25.0,,,,,363.0,494.70000000000005,8.0
